Word_spanish,Word_catalan,Word_english,Val_Mn,Val_SD,Val_Mn_Fem,Val_Mn_Mal,Ar_Mn,Ar_SD,Ar_Mn_Fem,Ar_Mn_Mal,Hap_Mn,Hap_SD,Hap_Mn_Fem,Hap_Mn_Mal,Ang_Mn,Ang_SD,Ang_Mn_Fem,Ang_Mn_Mal,Sad_Mn,Sad_SD,Sad_Mn_Fem,Sad_Mn_Mal,Fear_Mn,Fear_SD,Fear_Mn_Fem,Fear_Mn_Mal,Disg_Mn,Disg_SD,Disg_Mn_Fem,Disg_Mn_Mal,Con_Mn,Con_SD,Con_Mn_Fem,Conc_Mn_Mal,Gramm_Class,Freq,Length_lett,Length_syl
abandono,abandonament,abandonment,1.47,0.82,1.33,1.50,6.47,1.91,6.67,6.42,1.03,0.18,1.17,1.00,3.30,1.42,2.17,3.58,4.43,0.94,3.83,4.58,3.33,1.40,2.17,3.63,2.63,1.38,2.67,2.63,6.10,2.34,7.33,5.78,N,25.94,8,4
abatir,abatre,take down,3.03,1.52,7.69,3.03,5.40,2.34,5.48,5.48,1.24,0.69,1.22,1.29,2.66,1.23,2.44,2.76,3.17,1.28,2.89,3.35,2.86,1.22,2.56,2.94,1.31,0.66,1.33,1.18,4.57,2.05,4.55,4.62,V,0.89,6,3
abierto,obert,open,5.60,1.52,5.57,5.67,4.83,2.23,4.81,4.89,2.80,1.27,2.95,2.44,1.27,0.83,1.29,1.22,1.10,0.31,1.24,1.11,1.57,1.17,1.38,2.00,1.03,0.18,1.00,1.11,5.63,2.33,5.57,5.78,A/N,64.84,7,3
abierta,oberta,open,5.60,1.52,5.57,5.67,4.83,2.23,4.81,4.89,2.80,1.27,2.95,2.44,1.27,0.83,1.29,1.22,1.10,0.31,1.24,1.11,1.57,1.17,1.38,2.00,1.03,0.18,1.00,1.11,5.63,2.33,5.57,5.78,A/N,64.84,7,3
abismo,abisme,abyss,2.77,1.14,3.00,2.75,6.27,1.86,7.50,6.30,1.30,0.84,1.00,1.00,1.53,1.01,3.75,4.70,2.47,1.43,3.50,4.25,4.13,0.97,3.75,4.85,1.13,0.43,3.50,4.75,5.63,2.48,6.25,6.15,N,16.34,6,3
abrazar,abraçar,hug,8.67,0.55,8.00,8.85,5.83,2.44,5.00,5.65,4.73,0.45,1.25,1.35,1.00,0.00,1.75,1.40,2.00,1.46,2.25,2.45,1.63,0.93,4.50,4.10,1.00,0.00,1.00,1.05,7.77,1.48,7.50,8.05,V,3.02,7,3
abrazo,abraçada,hug,8.14,1.48,8.20,8.13,5.83,2.84,4.80,6.04,4.80,0.41,4.80,4.87,1.10,0.31,1.20,1.07,2.23,1.41,2.00,1.87,1.77,1.14,1.80,1.73,1.13,0.43,1.00,1.20,7.48,2.11,7.80,7.42,N,15.63,6,3
abroncar,esbroncar,get angry,2.43,1.21,1.83,2.67,7.05,1.72,6.83,7.13,1.05,0.22,1.17,1.00,3.71,0.96,3.50,3.80,2.71,1.10,1.83,3.07,2.95,1.12,2.67,3.07,1.67,0.97,1.33,1.80,5.95,1.94,6.67,5.67,V,0.18,8,3
abuso,abús,abuse,1.47,0.97,1.27,2.75,6.40,2.14,6.62,5.00,1.17,0.75,1.19,1.00,4.37,1.00,4.38,4.25,4.20,0.85,4.27,3.75,4.07,0.91,4.27,2.75,4.03,1.22,4.08,3.75,5.47,2.15,5.46,5.50,N,12.26,5,3
acariciar,acariciar,caress,8.20,0.85,8.20,8.14,6.13,2.74,6.13,6.05,4.47,0.82,4.47,4.08,1.10,0.31,1.10,1.08,1.43,0.57,1.43,1.38,1.27,0.64,1.27,1.31,1.13,0.35,1.13,1.08,7.37,1.50,7.37,7.38,V,6.93,9,4
acatar,acatar,comply with,3.97,1.70,4.00,3.97,5.03,2.01,5.08,5.03,1.41,0.82,1.46,1.41,1.97,1.24,2.08,1.97,2.14,1.19,2.27,2.14,2.28,1.22,2.23,2.28,1.59,0.98,1.62,1.59,5.24,2.36,5.23,5.24,V,3.02,6,3
