"","x"
"1","abandono"
"2","abatir"
"3","abierto"
"4","abierta"
"5","abismo"
"6","abrazar"
"7","abrazo"
"8","abroncar"
"9","abuso"
"10","acariciar"
"11","acatar"
"12","aceptación"
"13","acera"
"14","aclamar"
"15","acné"
"16","acogedor"
"17","acogedora"
"18","acosar"
"19","actuar"
"20","acuarela"
"21","acuático"
"22","acuática"
"23","acuchillar"
"24","acusar"
"25","admirar"
"26","adulterado"
"27","adulterio"
"28","advertir"
"29","afamado"
"30","afectuoso"
"31","afición"
"32","agencia"
"33","aglomeración"
"34","agonizar"
"35","agradar"
"36","agredir"
"37","agua"
"38","aguijón"
"39","ahogar"
"40","ahorcar"
"41","alabar"
"42","alarma"
"43","alarmar"
"44","alegrar"
"45","alegría"
"46","alentador"
"47","alicatar"
"48","alimentar"
"49","alterado"
"50","alterada"
"51","alto"
"52","alta"
"53","aludir"
"54","amar"
"55","amargura"
"56","amenazado"
"57","amenazada"
"58","amenazador"
"59","amenazadora"
"60","amenazar"
"61","amistad"
"62","amistoso"
"63","amistosa"
"64","amordazar"
"65","amplio"
"66","amplia"
"67","amputación"
"68","ancho"
"69","ancha"
"70","anclar"
"71","animar"
"72","aniquilar"
"73","anorexia"
"74","anotar"
"75","ansiedad"
"76","anticuado"
"77","anticuada"
"78","antiguo"
"79","antipático"
"80","apaciguado"
"81","aparato"
"82","apasionado"
"83","apasionada"
"84","apendicitis"
"85","aperitivo"
"86","apestoso"
"87","apestosa"
"88","apilar"
"89","aplastar"
"90","aplaudir"
"91","aplausos"
"92","apodar"
"93","aprobar"
"94","araña"
"95","armar"
"96","armonía"
"97","aroma"
"98","arrasar"
"99","arriesgado"
"100","arriesgada"
"101","arrimar"
"102","arrollar"
"103","arroz"
"104","arruinar"
"105","artículo"
"106","artístico"
"107","artística"
"108","asaltar"
"109","asombrar"
"110","astuto"
"111","asustar"
"112","atacar"
"113","ataque"
"114","atardecer"
"115","atasco"
"116","ataúd"
"117","atemorizar"
"118","atender"
"119","aterrar"
"120","aterrorizar"
"121","atmosférico"
"122","atmosférica"
"123","átomo"
"124","atontado"
"125","atontada"
"126","atornillar"
"127","atracar"
"128","atractivo"
"129","atravesar"
"130","aturdido"
"131","ausencia"
"132","auténtico"
"133","auxiliar"
"134","aventurero"
"135","aversivo"
"136","aversiva"
"137","avispado"
"138","avispada"
"139","azulejo"
"140","babosa"
"141","bailar"
"142","baile"
"143","balneario"
"144","barba"
"145","bebé"
"146","bello"
"147","bella"
"148","beneficio"
"149","besar"
"150","bienestar"
"151","bikini"
"152","binario"
"153","binaria"
"154","bochorno"
"155","bola"
"156","bombardear"
"157","bondadoso"
"158","bondadosa"
"159","bonito"
"160","bonita"
"161","borroso"
"162","borrosa"
"163","bosque"
"164","botón"
"165","brincar"
"166","broma"
"167","cachorro"
"168","caducado"
"169","caducada"
"170","caer"
"171","calavera"
"172","calentar"
"173","calma"
"174","calmado"
"175","calmada"
"176","calmante"
"177","camping"
"178","canal"
"179","canción"
"180","cansancio"
"181","cantar"
"182","capa"
"183","caprichoso"
"184","caprichosa"
"185","carcajada"
"186","carismático"
"187","carismática"
"188","cartesiano"
"189","cartesiana"
"190","castigar"
"191","catástrofe"
"192","cauto"
"193","cauta"
"194","cazar"
"195","cefalea"
"196","ceguera"
"197","celda"
"198","celebración"
"199","celebrar"
"200","celulitis"
"201","chaquetero"
"202","chaquetera"
"203","charca"
"204","charlar"
"205","chimenea"
"206","chistoso"
"207","chistosa"
"208","chivato"
"209","chivata"
"210","chuchería"
"211","chulo"
"212","chula"
"213","cifrado"
"214","cifrada"
"215","cine"
"216","cirugía"
"217","cita"
"218","claridad"
"219","clase"
"220","clavel"
"221","coacción"
"222","coaccionar"
"223","cobrar"
"224","cocer"
"225","codicioso"
"226","codiciosa"
"227","colorado"
"228","colorada"
"229","comentario"
"230","comenzar"
"231","cómico"
"232","cómica"
"233","cómodo"
"234","cómoda"
"235","compadecer"
"236","compañía"
"237","compartir"
"238","compasivo"
"239","compasiva"
"240","competente "
"241","competitivo"
"242","competitiva"
"243","complacer"
"244","complacido"
"245","complacida"
"246","comprensión"
"247","comunicación"
"248","comunicativo"
"249","comunicativa"
"250","condena"
"251","confidente"
"252","conflicto"
"253","confundido"
"254","confundida"
"255","congelado"
"256","congelada"
"257","conocer"
"258","consciente"
"259","conseguir"
"260","conservar"
"261","contentar"
"262","contento"
"263","contentar"
"264","contrario"
"265","contraria"
"266","cooperar"
"267","coordinación"
"268","coquetear"
"269","correr"
"270","corromper"
"271","cosa"
"272","creativo"
"273","creativa"
"274","crecer"
"275","crédulo"
"276","crédula"
"277","creído"
"278","creída"
"279","crisis"
"280","cuadrado"
"281","cuadrada"
"282","cucaracha"
"283","cuento"
"284","cuidar"
"285","culto"
"286","danza"
"287","dañar"
"288","dañino"
"289","dañina"
"290","dar"
"291","década"
"292","decapitar"
"293","decidir"
"294","decoro"
"295","defender"
"296","degollar"
"297","delfín"
"298","delgado"
"299","delgada"
"300","delicadeza"
"301","delicioso"
"302","deliciosa"
"303","delincuencia"
"304","demencia"
"305","democracia"
"306","denigrar"
"307","denominar"
"308","derruir"
"309","derrumbar"
"310","desafiar"
"311","desagradable"
"312","desahuciado"
"313","desahuciada"
"314","desahuciar"
"315","desahucio"
"316","desamor"
"317","desangrar"
"318","descansar"
"319","desconsiderado"
"320","desconsiderada"
"321","desear"
"322","desenroscar"
"323","desenterrar"
"324","desfavorable"
"325","desierto"
"326","desmayo"
"327","desobedecer"
"328","desollar"
"329","desorden"
"330","despachar"
"331","despacho"
"332","despejado"
"333","despejada"
"334","despierto"
"335","despistado"
"336","despistada"
"337","desprecio"
"338","destacar"
"339","desterrar"
"340","destrozar"
"341","devastar"
"342","diabetes"
"343","dichoso"
"344","dictadura"
"345","difamar"
