"";"x"
"1";"abatir"
"2";"abrazar"
"3";"abroncar"
"4";"acariciar"
"5";"acatar"
"6";"aclamar"
"7";"acosar"
"8";"actuar"
"9";"acuchillar"
"10";"acusar"
"11";"admirar"
"12";"advertir"
"13";"agonizar"
"14";"agradar"
"15";"agredir"
"16";"ahogar"
"17";"ahorcar"
"18";"alabar"
"19";"alarmar"
"20";"alegrar"
"21";"alicatar"
"22";"alimentar"
"23";"aludir"
"24";"amar"
"25";"amenazar"
"26";"amordazar"
"27";"anclar"
"28";"animar"
"29";"aniquilar"
"30";"anotar"
"31";"apilar"
"32";"aplastar"
"33";"aplaudir"
"34";"apodar"
"35";"aprobar"
"36";"armar"
"37";"arrasar"
"38";"arrimar"
"39";"arrollar"
"40";"arruinar"
"41";"asaltar"
"42";"asombrar"
"43";"asustar"
"44";"atacar"
"45";"atardecer"
"46";"atemorizar"
"47";"atender"
"48";"aterrar"
"49";"aterrorizar"
"50";"atornillar"
"51";"atracar"
"52";"atravesar"
"53";"auxiliar"
"54";"bailar"
"55";"besar"
"56";"bombardear"
"57";"brincar"
"58";"caer"
"59";"calentar"
"60";"cantar"
"61";"castigar"
"62";"cazar"
"63";"celebrar"
"64";"charlar"
"65";"coaccionar"
"66";"cobrar"
"67";"cocer"
"68";"comenzar"
"69";"compadecer"
"70";"compartir"
"71";"complacer"
"72";"conocer"
"73";"conseguir"
"74";"conservar"
"75";"contentar"
"76";"cooperar"
"77";"coquetear"
"78";"correr"
"79";"corromper"
"80";"crecer"
"81";"cuidar"
"82";"dañar"
"83";"dar"
"84";"decapitar"
"85";"decidir"
"86";"defender"
"87";"degollar"
"88";"denigrar"
"89";"denominar"
"90";"derruir"
"91";"derrumbar"
"92";"desafiar"
"93";"desahuciar"
"94";"desangrar"
"95";"descansar"
"96";"desear"
"97";"desenroscar"
"98";"desenterrar"
"99";"desobedecer"
"100";"desollar"
"101";"despachar"
"102";"destacar"
"103";"desterrar"
"104";"destrozar"
"105";"devastar"
"106";"difamar"
"107";"disfrutar"
"108";"disparar"
"109";"divertir"
"110";"donar"
"111";"duplicar"
"112";"ejecutar"
"113";"electrocutar"
"114";"elegir"
"115";"embalar"
"116";"embestir"
"117";"empaquetar"
"118";"empatar"
"119";"emplear"
"120";"enaltecer"
"121";"enamorar"
"122";"encantar"
"123";"encontrar"
"124";"endurecer"
"125";"enfadar"
"126";"enfermar"
"127";"enfurecer"
"128";"engañar"
"129";"engatusar"
"130";"engordar"
"131";"engrosar"
"132";"enriquecer"
"133";"enroscar"
"134";"entender"
"135";"enterrar"
"136";"entusiasmar"
"137";"envenenar"
"138";"enviar"
"139";"esbozar"
"140";"esclavizar"
"141";"escupir "
"142";"espantar"
"143";"esquematizar"
"144";"esquilar"
"145";"estacionar"
"146";"estallar"
"147";"estrangular"
"148";"estudiar"
"149";"exagerar"
"150";"excitar"
"151";"explicar"
"152";"expresar"
"153";"exterminar"
"154";"externalizar"
"155";"fallecer"
"156";"falsear"
"157";"felicitar"
"158";"festejar"
"159";"figurar"
"160";"flirtear"
"161";"fusilar"
"162";"golpear"
"163";"gustar"
"164";"hallar"
"165";"herir"
"166";"humedecer"
"167";"igualar"
"168";"ilusionar"
"169";"implantar"
"170";"imponer"
"171";"imprimir"
"172";"incendiar"
"173";"increpar"
"174";"infectar"
"175";"injuriar"
"176";"inquietar"
"177";"inscribir"
"178";"inspeccionar"
"179";"instaurar"
"180";"interferir"
"181";"intimidar"
"182";"inventar"
"183";"jugar"
"184";"lamentar"
"185";"lanzar"
"186";"lapidar"
"187";"lastimar"
"188";"leer"
"189";"lesionar"
"190";"ligar"
"191";"linchar"
"192";"llamar"
"193";"lograr"
"194";"malgastar"
"195";"maltratar"
"196";"malversar"
"197";"marcar"
"198";"mascullar"
"199";"matar"
"200";"mentir"
"201";"modular"
"202";"morder"
"203";"mover"
"204";"murmurar "
"205";"navegar"
"206";"negociar"
"207";"olvidar"
"208";"oprimir"
"209";"orar"
"210";"oscilar"
"211";"otear"
"212";"otorgar"
"213";"ovacionar"
"214";"padecer"
"215";"pasear"
"216";"pegar"
"217";"peinar"
"218";"pelear"
"219";"peligrar"
"220";"perder"
"221";"perdonar"
"222";"perjudicar"
"223";"perseverar"
"224";"piropear"
"225";"precintar"
"226";"premiar"
"227";"preocupar"
"228";"preparar"
"229";"probar"
"230";"programar"
"231";"prosperar"
"232";"prostituir"
"233";"proteger"
"234";"quemar"
"235";"reanimar"
"236";"recalcar"
"237";"recibir"
"238";"reciclar"
"239";"recolectar"
"240";"recompensar"
"241";"recriminar"
"242";"recrudecer"
"243";"reemplazar"
"244";"referir"
"245";"reformar"
"246";"reforzar"
"247";"regalar"
"248";"regañar"
"249";"reinar"
"250";"reír"
"251";"remover"
"252";"renacer"
"253";"renovar"
"254";"reprender"
"255";"repugnar"
"256";"rescatar"
"257";"respetar"
"258";"respirar"
"259";"resumir"
"260";"reventar"
"261";"revolver"
"262";"rezar"
"263";"ridiculizar"
"264";"rogar"
"265";"romper"
"266";"rotular"
"267";"sacrificar"
"268";"salir"
"269";"saltear"
"270";"salvar"
"271";"sancionar"
"272";"sangrar"
"273";"secuestrar"
"274";"seducir"
"275";"sellar"
"276";"sentir"
"277";"sobornar"
"278";"sobresalir"
"279";"sobrevivir"
"280";"socorrer"
"281";"sollozar"
"282";"sonreír"
"283";"sorprender"
"284";"suscribir"
"285";"susurrar"
"286";"temer"
"287";"tentar"
"288";"torcer"
"289";"torear"
"290";"torturar"
"291";"trabajar"
"292";"triturar"
"293";"triunfar"
"294";"vencer"
"295";"verbalizar"
"296";"versionar"
"297";"viajar"
"298";"violar"
"299";"visualizar"
"300";"vocalizar"
"301";"volar"
"302";"voltear"
"303";"votar "
"304";"abatre"
"305";"abraçar"
"306";"esbroncar"
"307";"acariciar"
"308";"acatar"
"309";"aclamar"
"310";"assetjar"
"311";"actuar"
"312";"apunyalar"
"313";"acusar"
"314";"admirar"
"315";"advertir"
"316";"agonitzar"
"317";"agradar"
"318";"agredir"
"319";"ofegar"
"320";"penjar"
"321";"lloar"
"322";"alarmar"
"323";"alegrar"
"324";"enrajolar"
"325";"alimentar"
"326";"al·ludir"
"327";"estimar"
"328";"amenaçar"
"329";"emmordassar"
"330";"ancorar"
"331";"animar"
"332";"aniquilar"
"333";"anotar"
"334";"apilar"
"335";"aixafar"
"336";"aplaudir"
"337";"apodar"
"338";"aprovar"
"339";"armar"
"340";"arrasar"
"341";"donar un cop"
"342";"atropellar"
"343";"arruïnar"
"344";"assaltar"
"345";"sorprendre"
"346";"espantar"
"347";"atacar"
"348";"capvespre"
"349";"atemorir"
"350";"atendre"
"351";"aterrir"
"352";"aterroritzar"
"353";"cargolar"
"354";"atracar"
"355";"travessar"
"356";"auxiliar"
"357";"ballar"
"358";"besar"
"359";"bombardejar"
"360";"botar"
"361";"caure"
"362";"escalfar"
"363";"cantar"
"364";"castigar"
"365";"caçar"
"366";"celebrar"
"367";"xerrar"
"368";"coaccionar"
"369";"cobrar"
"370";"coure"
"371";"començar"
"372";"compadir"
"373";"compartir"
"374";"complaure"
"375";"conèixer"
"376";"aconseguir"
"377";"conservar"
"378";"acontentar"
"379";"cooperar"
"380";"coquetejar"
"381";"córrer"
"382";"corrompre"
"383";"créixer"
"384";"tenir cura"
"385";"danyar"
"386";"donar"
"387";"decapitar"
"388";"decidir"
"389";"defensar"
"390";"degollar"
"391";"denigrar"
"392";"anomenar"
"393";"derruir"
"394";"esfondrar"
"395";"desafiar"
"396";"desnonar"
"397";"dessagnar"
"398";"descansar"
"399";"desitjar"
"400";"descargolar"
"401";"desenterrar"
"402";"desobeir"
"403";"escorxar"
"404";"despatxar"
"405";"destacar"
"406";"desterrar"
"407";"destrossar"
"408";"devastar"
"409";"difamar"
"410";"gaudir"
"411";"disparar"
"412";"divertir"
"413";"donar"
"414";"duplicar"
"415";"executar"
"416";"electrocutar"
"417";"triar"
"418";"embalar"
"419";"envestir"
"420";"empaquetar"
"421";"empatar"
"422";"emprar"
"423";"enaltir"
"424";"enamorar"
"425";"encantar"
"426";"trobar"
"427";"endurir"
"428";"enfadar"
"429";"emmalaltir"
"430";"enfurismar"
"431";"enganyar"
"432";"entabanar"
"433";"engreixar"
"434";"engrossir"
"435";"enriquir"
"436";"enroscar"
"437";"entendre"
"438";"enterrar"
"439";"entusiasmar"
"440";"enverinar"
"441";"enviar"
"442";"esbossar"
"443";"esclavitzar"
"444";"escopir"
"445";"espantar"
"446";"esquematitzar"
"447";"esquilar"
"448";"estacionar"
"449";"esclatar"
"450";"escanyar"
"451";"estudiar"
"452";"exagerar"
"453";"excitar"
"454";"explicar"
"455";"expressar"
"456";"exterminar"
"457";"externalitzar"
"458";"morir"
"459";"falsejar"
"460";"felicitar"
"461";"festejar"
"462";"figurar"
"463";"flirtejar"
"464";"afusellar"
"465";"colpejar"
"466";"agradar"
"467";"trobar"
"468";"ferir"
"469";"humitejar"
"470";"igualar"
"471";"il·lusionar"
"472";"implantar"
"473";"imposar"
"474";"imprimir"
"475";"incendiar"
"476";"increpar"
"477";"infectar"
"478";"injuriar"
"479";"inquietar"
"480";"inscriure"
"481";"inspeccionar"
"482";"instaurar"
"483";"interferir"
"484";"intimidar"
"485";"inventar"
"486";"jugar"
"487";"lamentar"
"488";"llançar"
"489";"lapidar"
"490";"fer mal"
"491";"llegir"
"492";"lesionar"
"493";"lligar"
"494";"linxar"
"495";"cridar"
"496";"aconseguir"
"497";"malgastar"
"498";"maltractar"
"499";"malversar"
"500";"marcar"
"501";"remugar"
"502";"matar"
"503";"mentir"
"504";"modular"
"505";"mossegar"
"506";"moure"
"507";"murmurar"
"508";"navegar"
"509";"negociar"
"510";"oblidar"
"511";"oprimir"
"512";"pregar"
"513";"oscil·lar"
"514";"atalaiar"
"515";"atorgar"
"516";"ovacionar"
"517";"patir"
"518";"passejar"
"519";"enganxar"
"520";"pentinar"
"521";"barallar"
"522";"perillar"
"523";"perdre"
"524";"perdonar"
"525";"perjudicar"
"526";"perseverar"
"527";"piropejar"
"528";"precintar"
"529";"premiar"
"530";"preocupar"
"531";"preparar"
"532";"provar"
"533";"programar"
"534";"prosperar"
"535";"prostituir"
"536";"protegir"
"537";"cremar"
"538";"reanimar"
"539";"recalcar"
"540";"rebre"
"541";"reciclar"
"542";"recol·lectar"
"543";"recompensar"
"544";"recriminar"
"545";"intensificar"
"546";"reemplaçar"
"547";"referir"
"548";"reformar"
"549";"reforçar"
"550";"regalar"
"551";"renyar"
"552";"regnar"
"553";"riure"
"554";"remoure"
"555";"renéixer"
"556";"renovar"
"557";"reprendre"
"558";"repugnar"
"559";"rescatar"
"560";"respectar"
"561";"respirar"
"562";"resumir"
"563";"rebentar"
"564";"remenar"
"565";"resar"
"566";"ridiculitzar"
"567";"pregar"
"568";"trencar"
"569";"retolar"
"570";"sacrificar"
"571";"sortir"
"572";"saltar"
"573";"salvar"
"574";"sancionar"
"575";"sagnar"
"576";"segrestar"
"577";"seduir"
"578";"segellar"
"579";"sentir"
"580";"subornar"
"581";"sobresortir"
"582";"sobreviure"
"583";"socórrer"
"584";"sanglotar"
"585";"somriure"
"586";"sorprendre"
"587";"subscriure"
"588";"xiuxiuejar"
"589";"témer"
"590";"temptar"
"591";"torçar"
"592";"torejar"
"593";"torturar"
"594";"trabajar"
"595";"triturar"
"596";"triunfar"
"597";"vencer"
"598";"verbalizar"
"599";"versionar"
"600";"viajar"
"601";"violar"
"602";"visualizar"
"603";"vocalizar"
"604";"volar"
"605";"voltear"
"606";"votar "
"607";"take down"
"608";"hug"
"609";"get angry"
"610";"caress"
"611";"comply with"
"612";"acclaim"
"613";"harass"
"614";"act"
"615";"stab"
"616";"accuse"
"617";"admire"
"618";"advise"
"619";"fade"
"620";"please"
"621";"assault"
"622";"choke"
"623";"hang"
"624";"praise"
"625";"alarm"
"626";"cheer up"
"627";"tile"
"628";"feed"
"629";"allude "
"630";"love"
"631";"threaten"
"632";"gag"
"633";"anchor"
"634";"encourage"
"635";"annihilate"
"636";"write down"
"637";"pile up"
"638";"smash"
"639";"applaude"
"640";"nickname"
"641";"pass "
"642";"assemble"
"643";"devastate"
"644";"bring closer"
"645";"carry away"
"646";"ruin"
"647";"to rob"
"648";"astonish"
"649";"scare"
"650";"attack"
"651";"get dark"
"652";"frighten"
"653";"pay attention"
"654";"terrify"
"655";"terrorise"
"656";"screw"
"657";"mug"
"658";"go through"
"659";"aid"
"660";"dance"
"661";"kiss"
"662";"bomb"
"663";"jump"
"664";"fall"
"665";"heat"
"666";"sing"
"667";"to punish"
"668";"hunt"
"669";"celebrate"
"670";"chat"
"671";"coerce"
"672";"cash"
"673";"boil"
"674";"begin"
"675";"pity"
"676";"share"
"677";"please"
"678";"know"
"679";"obtain"
"680";"keep"
"681";"satisfy "
"682";"cooperate"
"683";"flirt"
"684";"run "
"685";"corrupt"
"686";"grow"
"687";"take care"
"688";"damage"
"689";"give"
"690";"decapitate"
"691";"decide"
"692";"defend"
"693";"slit"
"694";"denigrate"
"695";"refer to"
"696";"pull down"
"697";"demolish"
"698";"defy"
"699";"to evict"
"700";"bleed out"
"701";"rest"
"702";"desire"
"703";"unscrew"
"704";"dig up"
"705";"disobey"
"706";"skin"
"707";"serve"
"708";"stand out"
"709";"exile"
"710";"destroy"
"711";"devastate"
"712";"to defame"
"713";"to enjoy"
"714";"fire"
"715";"entertain"
"716";"donate"
"717";"to double"
"718";"execute"
"719";"electrocute"
"720";"choose"
"721";"box up"
"722";"charge at"
"723";"pack"
"724";"tie "
"725";"use"
"726";"uplift"
"727";"love"
"728";"love"
"729";"find"
"730";"harden"
"731";"piss off"
"732";"make ill"
"733";"infuriate"
"734";"deceive"
"735";"cajole"
"736";"gain weight"
"737";"increase"
"738";"enrich "
"739";"screw"
"740";"understand"
"741";"bury"
"742";"excite"
"743";"poison"
"744";"send"
"745";"to sketch"
"746";"enslave"
"747";"spit"
"748";"scare away"
"749";"outline"
"750";"shear"
"751";"to park"
"752";"burst"
"753";"strangle "
"754";"to study"
"755";"exaggerate"
"756";"excite"
"757";"to explain"
"758";"express"
"759";"exterminate"
"760";"outsource"
"761";"pass away"
"762";"falsify"
"763";"congratulate"
"764";"celebrate"
"765";"figure"
"766";"flirt"
"767";"shoot"
"768";"hit"
"769";"like"
"770";"discover"
"771";"wound"
"772";"moisten"
"773";"equalise"
"774";"excite"
"775";"implant"
"776";"impose"
"777";"print"
"778";"set fire"
"779";"tell off"
"780";"infect"
"781";"insult"
"782";"worry"
"783";"record"
"784";"examine"
"785";"establish"
"786";"interfere"
"787";"intimidate"
"788";"invent"
"789";"play"
"790";"regret"
"791";"throw"
"792";"stone"
"793";"harm"
"794";"read"
"795";"injure"
"796";"make out with"
"797";"lynch"
"798";"call"
"799";"achieve"
"800";"waste"
"801";"mistreat"
"802";"embezzle"
"803";"mark"
"804";"mumble"
"805";"kill"
"806";"lie"
"807";"modulate"
"808";"bite"
"809";"move"
"810";"murmur"
"811";"navigate"
"812";"negotiate"
"813";"to forget"
"814";"oppress"
"815";"pray"
"816";"toscillate"
"817";"watch over"
"818";"grant"
"819";"cheer"
"820";"suffer"
"821";"to walk"
"822";"to hit"
"823";"comb "
"824";"fight"
"825";"be in danger"
"826";"loose"
"827";"forgive"
"828";"damage"
"829";"persevere"
