"","tweet","created","retweet","word","sentiment","cat","es","NA","logretweet"
"1",1,2017-10-16 23:00:00,0,"anxiety","anger","ansietat","ansiedad","UTF-8",0
"2",1,2017-10-16 23:00:00,0,"anxiety","anticipation","ansietat","ansiedad","UTF-8",0
"3",1,2017-10-16 23:00:00,0,"anxiety","fear","ansietat","ansiedad","UTF-8",0
"4",1,2017-10-16 23:00:00,0,"anxiety","sadness","ansietat","ansiedad","UTF-8",0
"5",2,2017-10-02 03:00:00,0,"shame","disgust","vergonya","vergüenza","UTF-8",0
"6",2,2017-10-02 03:00:00,0,"shame","fear","vergonya","vergüenza","UTF-8",0
"7",2,2017-10-02 03:00:00,0,"shame","sadness","vergonya","vergüenza","UTF-8",0
"8",4,2017-10-16 18:00:00,11456,"food","joy","menjar","comida","UTF-8",9.34635617589363
"9",7,2017-10-05 11:00:00,2,"violence","anger","violència","violencia","UTF-8",1.09861228866811
"10",7,2017-10-05 11:00:00,2,"violence","fear","violència","violencia","UTF-8",1.09861228866811
"11",7,2017-10-05 11:00:00,2,"violence","sadness","violència","violencia","UTF-8",1.09861228866811
"12",7,2017-10-05 11:00:00,2,"die","fear","morir","morir","UTF-8",1.09861228866811
"13",8,2017-10-12 13:00:00,3,"cruel","anger","cruel","cruel","UTF-8",1.38629436111989
"14",8,2017-10-12 13:00:00,3,"cruel","disgust","cruel","cruel","UTF-8",1.38629436111989
"15",8,2017-10-12 13:00:00,3,"cruel","fear","cruel","cruel","UTF-8",1.38629436111989
"16",8,2017-10-12 13:00:00,3,"cruel","sadness","cruel","cruel","UTF-8",1.38629436111989
"17",8,2017-10-12 13:00:00,3,"law","trust","llei","ley","UTF-8",1.38629436111989
"18",9,2017-10-04 21:00:00,8,"weight","sadness","pes","peso","UTF-8",2.19722457733622
"19",9,2017-10-04 21:00:00,8,"weight","surprise","pes","peso","UTF-8",2.19722457733622
"20",15,2017-10-01 17:00:00,1,"thought","anticipation","pensament","pensamiento","UTF-8",0.693147180559945
"21",15,2017-10-01 17:00:00,1,"struggle","anger","lluita","lucha","UTF-8",0.693147180559945
"22",15,2017-10-01 17:00:00,1,"struggle","fear","lluita","lucha","UTF-8",0.693147180559945
"23",15,2017-10-01 17:00:00,1,"struggle","sadness","lluita","lucha","UTF-8",0.693147180559945
"24",16,2017-10-02 11:00:00,0,"urgent","fear","urgent","urgente","UTF-8",0
"25",16,2017-10-02 11:00:00,0,"urgent","surprise","urgent","urgente","UTF-8",0
"26",17,2017-10-01 17:00:00,0,"hurt","anger","ferir","herir","UTF-8",0
"27",17,2017-10-01 17:00:00,0,"hurt","fear","ferir","herir","UTF-8",0
"28",17,2017-10-01 17:00:00,0,"hurt","sadness","ferir","herir","UTF-8",0
"29",17,2017-10-01 17:00:00,0,"brutal","anger","brutal","brutal","UTF-8",0
"30",17,2017-10-01 17:00:00,0,"brutal","fear","brutal","brutal","UTF-8",0
"31",18,2017-10-07 13:00:00,0,"ridiculous","anger","ridícul","ridículo","UTF-8",0
"32",18,2017-10-07 13:00:00,0,"ridiculous","disgust","ridícul","ridículo","UTF-8",0
"33",19,2017-10-13 13:00:00,0,"law","trust","llei","ley","UTF-8",0
"34",20,2017-10-03 18:00:00,0,"solidarity","trust","solidaritat","solidaridad","UTF-8",0
"35",20,2017-10-03 18:00:00,0,"bad","anger","una mica","malo","UTF-8",0
"36",20,2017-10-03 18:00:00,0,"bad","disgust","una mica","malo","UTF-8",0
"37",20,2017-10-03 18:00:00,0,"bad","fear","una mica","malo","UTF-8",0
"38",20,2017-10-03 18:00:00,0,"bad","sadness","malament","malo","UTF-8",0
"39",21,2017-10-06 14:00:00,0,"law","trust","llei","ley","UTF-8",0
"40",21,2017-10-06 14:00:00,0,"law","trust","llei","ley","UTF-8",0
"41",22,2017-10-04 17:00:00,0,"struggle","anger","lluita","lucha","UTF-8",0
"42",22,2017-10-04 17:00:00,0,"struggle","fear","lluita","lucha","UTF-8",0
"43",22,2017-10-04 17:00:00,0,"struggle","sadness","lluita","lucha","UTF-8",0
"44",22,2017-10-04 17:00:00,0,"fight","anger","lluita","lucha","UTF-8",0
"45",22,2017-10-04 17:00:00,0,"fight","fear","lluita","lucha","UTF-8",0
"46",24,2017-10-16 20:00:00,0,"law","trust","llei","ley","UTF-8",0
