"";"x"
"1";"acute"
"2";"acutely"
"3";"certain"
"4";"certainly"
"5";"colossal"
"6";"colossally"
"7";"deep"
"8";"deeply"
"9";"definite"
"10";"definitely"
"11";"enormous"
"12";"enormously"
"13";"extreme"
"14";"extremely"
"15";"great"
"16";"greatly"
"17";"heavily"
"18";"heavy"
"19";"high"
"20";"highly"
"21";"huge"
"22";"hugely"
"23";"immense"
"24";"immensely"
"25";"incalculable"
"26";"incalculably"
"27";"massive"
"28";"massively"
"29";"more"
"30";"particular"
"31";"particularly"
"32";"purpose"
"33";"purposely"
"34";"quite"
"35";"real"
"36";"really"
"37";"serious"
"38";"seriously"
"39";"severe"
"40";"severely"
"41";"significant"
"42";"significantly"
"43";"sure"
"44";"surely"
"45";"true"
"46";"truly"
"47";"vast"
"48";"vastly"
"49";"very"
