"";"x";"y"
"1";" acertado ";"1"
"2";" admirable ";"1"
"3";" admiración ";"1"
"4";" admirar ";"1"
"5";" afectivo ";"1"
"6";" afecto ";"1"
"7";" afectuoso ";"1"
"8";" afición ";"1"
"9";" afortunado ";"1"
"10";" agradable ";"1"
"11";" agradecido ";"1"
"12";" alegrar ";"1"
"13";" alegre ";"1"
"14";" alentador ";"1"
"15";" alentar ";"1"
"16";" amable ";"1"
"17";" amar ";"1"
"18";" amistoso ";"1"
"19";" amor ";"1"
"20";" animado ";"1"
"21";" animar ";"1"
"22";" apacible ";"1"
"23";" apasionado ";"1"
"24";" apego ";"1"
"25";" aprecio ";"1"
"26";" aprobar ";"1"
"27";" ardiente ";"1"
"28";" atractivo ";"1"
"29";" beneficio ";"1"
"30";" benevolencia ";"1"
"31";" benevolente ";"1"
"32";" bien ";"1"
"33";" bien ";"1"
"34";" bienestar ";"1"
"35";" bondad ";"1"
"36";" bonito ";"1"
"37";" buen ";"1"
"38";" bueno ";"1"
"39";" cariñoso ";"1"
"40";" cautivado ";"1"
"41";" cautivador ";"1"
"42";" cercano ";"1"
"43";" comodidad ";"1"
"44";" compañerismo ";"1"
"45";" competente ";"1"
"46";" complacencia ";"1"
"47";" complacer ";"1"
"48";" complaciente ";"1"
"49";" confianza ";"1"
"50";" confortar ";"1"
"51";" consolar ";"1"
"52";" contentarse ";"1"
"53";" contento ";"1"
"54";" correcto ";"1"
"55";" cortés ";"1"
"56";" cuidadoso ";"1"
"57";" cálido ";"1"
"58";" cándido ";"1"
"59";" cómodo ";"1"
"60";" decente ";"1"
"61";" deleitarse ";"1"
"62";" diestro ";"1"
"63";" disfrutar ";"1"
"64";" divertido ";"1"
"65";" divertir ";"1"
"66";" divertirse ";"1"
"67";" dulce ";"1"
"68";" emotivo ";"1"
"69";" encantado ";"1"
"70";" encantador ";"1"
"71";" entusiasmo ";"1"
"72";" entusiasta ";"1"
"73";" estima ";"1"
"74";" estimulante ";"1"
"75";" estimular ";"1"
"76";" euforia ";"1"
"77";" eufórico ";"1"
"78";" excelente ";"1"
"79";" excitante ";"1"
"80";" experto ";"1"
"81";" fascinación ";"1"
"82";" fascinante ";"1"
"83";" favorable ";"1"
"84";" favorecer ";"1"
"85";" felicidad ";"1"
"86";" feliz ";"1"
"87";" ferviente ";"1"
"88";" fiable ";"1"
"89";" firmeza ";"1"
"90";" gozar ";"1"
"91";" gracioso ";"1"
"92";" gratificante ";"1"
"93";" gustar ";"1"
"94";" gusto ";"1"
"95";" honorable ";"1"
"96";" honrado ";"1"
"97";" honrar ";"1"
"98";" hábil ";"1"
"99";" ideal ";"1"
"100";" idóneo ";"1"
"101";" interés ";"1"
"102";" jovial ";"1"
"103";" joya ";"1"
"104";" jubiloso ";"1"
"105";" justo ";"1"
"106";" júbilo ";"1"
"107";" magnífico ";"1"
"108";" mañoso ";"1"
"109";" minucioso ";"1"
"110";" optimismo ";"1"
"111";" optimista ";"1"
"112";" placentero ";"1"
"113";" plácido ";"1"
"114";" positivo ";"1"
"115";" preferencia ";"1"
"116";" prometedor ";"1"
"117";" provecho ";"1"
"118";" reconfortante ";"1"
"119";" recrear ";"1"
"120";" recto ";"1"
"121";" refrescar ";"1"
"122";" regocijado ";"1"
"123";" regocijar ";"1"
"124";" regocijarse ";"1"
"125";" regocijo ";"1"
"126";" respetable ";"1"
"127";" saludable ";"1"
"128";" sano ";"1"
"129";" satisfacer ";"1"
"130";" satisfactorio ";"1"
"131";" satisfecho ";"1"
"132";" seductor ";"1"
"133";" seguro ";"1"
"134";" sereno ";"1"
"135";" simpatía ";"1"
"136";" simpático ";"1"
"137";" solazar ";"1"
"138";" sonriente ";"1"
"139";" sosegado ";"1"
"140";" superior ";"1"
"141";" ternura ";"1"
"142";" tierno ";"1"
"143";" tranquilizar ";"1"
"144";" tónico ";"1"
"145";" utilidad ";"1"
"146";" vigorizante ";"1"
"147";" vigorizar ";"1"
"148";" útil ";"1"
"149";" abatir ";"-1"
"150";" abochornado ";"-1"
"151";" abochornar ";"-1"
"152";" abominación ";"-1"
"153";" aborrecer ";"-1"
"154";" aborrecimiento ";"-1"
"155";" acongojarse ";"-1"
"156";" acosar ";"-1"
"157";" aflicción ";"-1"
"158";" afligido ";"-1"
"159";" afligir ";"-1"
"160";" afligirse ";"-1"
"161";" agravar ";"-1"
"162";" agresividad ";"-1"
"163";" alarmar ";"-1"
"164";" alboroto ";"-1"
"165";" amargura ";"-1"
"166";" angustia ";"-1"
"167";" angustiado ";"-1"
"168";" antipatía ";"-1"
"169";" antipático ";"-1"
"170";" apesadumbrado ";"-1"
"171";" apocamiento ";"-1"
"172";" apurarse ";"-1"
"173";" arrepentido ";"-1"
"174";" arriesgado ";"-1"
"175";" asco ";"-1"
"176";" asquear ";"-1"
"177";" asqueroso ";"-1"
"178";" atormentar ";"-1"
"179";" atroz ";"-1"
"180";" avergonzado ";"-1"
"181";" avergonzar ";"-1"
"182";" aversión ";"-1"
"183";" cabreado ";"-1"
"184";" celoso ";"-1"
"185";" colérico ";"-1"
"186";" confundir ";"-1"
"187";" congoja ";"-1"
"188";" conmoción ";"-1"
"189";" consternado ";"-1"
"190";" contrariedad ";"-1"
"191";" contrito ";"-1"
"192";" crueldad ";"-1"
"193";" culpabilidad ";"-1"
"194";" culpable ";"-1"
"195";" dañino ";"-1"
"196";" decaído ";"-1"
"197";" defectuoso ";"-1"
"198";" degradante ";"-1"
"199";" deplorar ";"-1"
"200";" deprimente ";"-1"
"201";" deprimir ";"-1"
"202";" desagradable ";"-1"
"203";" desagradar ";"-1"
"204";" desagrado ";"-1"
"205";" desalentador ";"-1"
"206";" desalentar ";"-1"
"207";" desaliento ";"-1"
"208";" desamparo ";"-1"
"209";" desaprobar ";"-1"
"210";" desasosiego ";"-1"
"211";" desconsolado ";"-1"
"212";" descuido ";"-1"
"213";" desdicha ";"-1"
"214";" desdichado ";"-1"
"215";" desdén ";"-1"
"216";" desesperado ";"-1"
"217";" deshonroso ";"-1"
"218";" desolado ";"-1"
"219";" despreciable ";"-1"
"220";" despreciar ";"-1"
"221";" desprecio ";"-1"
"222";" desánimo ";"-1"
"223";" detestar ";"-1"
"224";" devastador ";"-1"
"225";" difícil ";"-1"
"226";" disgustado ";"-1"
"227";" disgustar ";"-1"
"228";" disuadir ";"-1"
"229";" dolor ";"-1"
"230";" dolorido ";"-1"
"231";" doloroso ";"-1"
"232";" encolerizar ";"-1"
"233";" enemistad ";"-1"
"234";" enfadado ";"-1"
"235";" enfadar ";"-1"
"236";" enfurecer ";"-1"
"237";" enojado ";"-1"
"238";" enojar ";"-1"
"239";" enojoso ";"-1"
"240";" entristecer ";"-1"
"241";" escalofriante ";"-1"
"242";" espantar ";"-1"
"243";" espantoso ";"-1"
"244";" exacerbación ";"-1"
"245";" exasperar ";"-1"
"246";" fastidiar ";"-1"
"247";" fastidioso ";"-1"
"248";" fatal ";"-1"
"249";" frustrado ";"-1"
"250";" frío ";"-1"
"251";" furia ";"-1"
"252";" furioso ";"-1"
"253";" harto ";"-1"
"254";" hastío ";"-1"
"255";" herir ";"-1"
"256";" histeria ";"-1"
"257";" horrible ";"-1"
"258";" horripilante ";"-1"
"259";" horror ";"-1"
"260";" horrorizar ";"-1"
"261";" horroroso ";"-1"
"262";" hostigar ";"-1"
"263";" hostilidad ";"-1"
"264";" humillar ";"-1"
"265";" impaciencia ";"-1"
"266";" impotencia ";"-1"
"267";" inadecuado ";"-1"
"268";" inclemente ";"-1"
"269";" incomodar ";"-1"
"270";" incómodo ";"-1"
"271";" inoportuno ";"-1"
"272";" inquietante ";"-1"
"273";" inquieto ";"-1"
"274";" inquina ";"-1"
"275";" insatisfecho ";"-1"
"276";" inseguridad ";"-1"
"277";" insuficiente ";"-1"
"278";" intolerable ";"-1"
"279";" iracundo ";"-1"
"280";" irascible ";"-1"
"281";" irritación ";"-1"
"282";" irritante ";"-1"
"283";" irritar ";"-1"
"284";" lamentable ";"-1"
"285";" mal_humor ";"-1"
"286";" malhumor ";"-1"
"287";" malicia ";"-1"
"288";" maligno ";"-1"
"289";" malévolo ";"-1"
"290";" melancolía ";"-1"
"291";" melancólico ";"-1"
"292";" menospreciar ";"-1"
"293";" menosprecio ";"-1"
"294";" miedoso ";"-1"
"295";" miserable ";"-1"
"296";" misoneísmo ";"-1"
"297";" mohína ";"-1"
"298";" molestar ";"-1"
"299";" molesto ";"-1"
"300";" monstruoso ";"-1"
"301";" mosqueado ";"-1"
"302";" nauseabundo ";"-1"
"303";" negro ";"-1"
"304";" nocivo ";"-1"
"305";" odiar ";"-1"
"306";" odio ";"-1"
"307";" ofender ";"-1"
"308";" ofensivo ";"-1"
"309";" opresión ";"-1"
"310";" oscuro ";"-1"
"311";" pavor ";"-1"
"312";" pena ";"-1"
"313";" penoso ";"-1"
"314";" perjudicial ";"-1"
"315";" perturbar ";"-1"
"316";" pesadumbre ";"-1"
"317";" pesar ";"-1"
"318";" pesaroso ";"-1"
"319";" pesimismo ";"-1"
"320";" pesimista ";"-1"
"321";" problema ";"-1"
"322";" pánico ";"-1"
"323";" quemazón ";"-1"
"324";" rabia ";"-1"
"325";" recelo ";"-1"
"326";" rechazar ";"-1"
"327";" rencor ";"-1"
"328";" repelo ";"-1"
"329";" repugnancia ";"-1"
"330";" repugnante ";"-1"
"331";" repulsivo ";"-1"
"332";" resentimiento ";"-1"
"333";" sombrío ";"-1"
"334";" temer ";"-1"
"335";" temeroso ";"-1"
"336";" temible ";"-1"
"337";" tener_miedo ";"-1"
"338";" terrible ";"-1"
"339";" tormento ";"-1"
"340";" trastorno ";"-1"
"341";" tribulación ";"-1"
"342";" triste ";"-1"
"343";" tristeza ";"-1"
"344";" vergüenza ";"-1"
"345";" vilipendio ";"-1"
