"";"x"
"1";"agudo"
"2";"aguda"
"3";"agudamente"
"4";"cierto"
"5";"cierta"
"6";"ciertamente"
"7";"colosal"
"8";"colosalmente"
"9";"profundo"
"10";"profunda"
"11";"profundamente"
"12";"definitivo"
"13";"definitiva"
"14";"definitivamente"
"15";"enorme"
"16";"enormemente"
"17";"extremo"
"18";"extrema"
"19";"extremado"
"20";"extremada"
"21";"extremadamente"
"22";"gran"
"23";"grande"
"24";"grandemente"
"25";"fuertemente"
"26";"fuerte"
"27";"alto"
"28";"alta"
"29";"altamente"
"30";"enorme"
"31";"enormemente"
"32";"inmenso"
"33";"inmensa"
"34";"inmensamente"
"35";"incalculable"
"36";"incalculablemente"
"37";"masivo"
"38";"masiva"
"39";"masivamente"
"40";"más"
"41";"particular"
"42";"particularmente"
"43";"a propósito"
"44";"deliberadamente"
"45";"muy"
"46";"real"
"47";"realmente"
"48";"grave"
"49";"gravemente"
"50";"severo"
"51";"severa"
"52";"severamente"
"53";"significativo"
"54";"significativa"
"55";"significativamente"
"56";"seguro"
"57";"segura"
"58";"seguramente"
"59";"verdadero"
"60";"verdadera"
"61";"verdaderamente"
"62";"vasto"
"63";"vasta"
"64";"vastamente"
"65";"mucho"
"66";"mucha"
