1/10/17 10:00;Police intervention
3/10/17 7:00;Strike
8/10/17 10:00;Demonstration against independence
5/10/17 10:00;First organizations to move out
10/10/17 21:00;First DOI
16/10/17 22:00;Referendum organizers imprisonment
21/10/17 16:00;Article 155
3/10/17 21:00;Kings speech
4/10/17 21:00;Puigdemont answer s the king
7/10/17 10:00;Demonstrations for dialogue
19/10/17 15:00;Ultimatum to negate DOI
31/10/17 0:00;Puigdemont exiles to Belgium
28/10/17 0:00;Rajoy sets new elections
27/10/17 0:00;Second and definite DOI
