,,
,2017-10-01 8:00:00,Referendum
,2017-10-03 10:00:00,Strike and mass demonstrations
,2017-10-08 10:00:00,Demonstration against independence
,2017-10-06 10:00:00,First organizations to move out
,2017-10-10 21:00:00,First DOI
,2017-10-16 22:00:00,Referendum organizers imprisonment
,2017-10-21 16:00:00,Article 155
,2017-10-03 21:00:00,King’s speech
,2017-10-04 21:00:00,Puigdemont answer s the king
,2017-10-07 10:00:00,Demonstrations for dialogue
,2017-10-19 15:00:00,Ultimatum to negate DOI
,2017-10-31 00:00:00,Puigdemont exiles to Belgium
,2017-10-28 00:00:00,Rajoy sets new elections
,2017-10-27 00:00:00,Second and definite DOI
