"","index","Referendum","Strike and mass demonstrations","King’s speech","Puigdemont answer s the king","First organizations to move out","Demonstrations for dialogue","Demonstration against independence","First DOI","Referendum organizers imprisonment"
"1",2017-10-01 09:00:00,1,0,0,0,0,0,0,0,0
"2",2017-10-01 10:00:00,1,0,0,0,0,0,0,0,0
"3",2017-10-01 11:00:00,1,0,0,0,0,0,0,0,0
"4",2017-10-01 12:00:00,1,0,0,0,0,0,0,0,0
"5",2017-10-01 13:00:00,1,0,0,0,0,0,0,0,0
"6",2017-10-01 14:00:00,1,0,0,0,0,0,0,0,0
"7",2017-10-01 15:00:00,1,0,0,0,0,0,0,0,0
"8",2017-10-01 16:00:00,1,0,0,0,0,0,0,0,0
"9",2017-10-01 17:00:00,1,0,0,0,0,0,0,0,0
"10",2017-10-01 18:00:00,1,0,0,0,0,0,0,0,0
"11",2017-10-01 19:00:00,1,0,0,0,0,0,0,0,0
"12",2017-10-01 20:00:00,1,0,0,0,0,0,0,0,0
"13",2017-10-01 21:00:00,1,0,0,0,0,0,0,0,0
"14",2017-10-01 22:00:00,1,0,0,0,0,0,0,0,0
"15",2017-10-01 23:00:00,1,0,0,0,0,0,0,0,0
"16",2017-10-02 00:00:00,1,0,0,0,0,0,0,0,0
"17",2017-10-02 01:00:00,1,0,0,0,0,0,0,0,0
"18",2017-10-02 02:00:00,1,0,0,0,0,0,0,0,0
"19",2017-10-02 03:00:00,1,0,0,0,0,0,0,0,0
"20",2017-10-02 04:00:00,1,0,0,0,0,0,0,0,0
"21",2017-10-02 05:00:00,1,0,0,0,0,0,0,0,0
"22",2017-10-02 06:00:00,1,0,0,0,0,0,0,0,0
"23",2017-10-02 07:00:00,1,0,0,0,0,0,0,0,0
"24",2017-10-02 08:00:00,1,0,0,0,0,0,0,0,0
"25",2017-10-02 09:00:00,1,0,0,0,0,0,0,0,0
"26",2017-10-02 10:00:00,1,0,0,0,0,0,0,0,0
"27",2017-10-02 11:00:00,1,0,0,0,0,0,0,0,0
"28",2017-10-02 12:00:00,1,0,0,0,0,0,0,0,0
"29",2017-10-02 13:00:00,1,0,0,0,0,0,0,0,0
"30",2017-10-02 14:00:00,1,0,0,0,0,0,0,0,0
"31",2017-10-02 15:00:00,1,0,0,0,0,0,0,0,0
"32",2017-10-02 16:00:00,1,0,0,0,0,0,0,0,0
"33",2017-10-02 17:00:00,1,0,0,0,0,0,0,0,0
"34",2017-10-02 18:00:00,1,0,0,0,0,0,0,0,0
"35",2017-10-02 19:00:00,1,0,0,0,0,0,0,0,0
"36",2017-10-02 20:00:00,1,0,0,0,0,0,0,0,0
"37",2017-10-02 21:00:00,1,0,0,0,0,0,0,0,0
"38",2017-10-02 22:00:00,1,0,0,0,0,0,0,0,0
"39",2017-10-02 23:00:00,1,0,0,0,0,0,0,0,0
"40",2017-10-03 00:00:00,1,0,0,0,0,0,0,0,0
"41",2017-10-03 01:00:00,1,0,0,0,0,0,0,0,0
"42",2017-10-03 02:00:00,1,0,0,0,0,0,0,0,0
"43",2017-10-03 03:00:00,1,0,0,0,0,0,0,0,0
"44",2017-10-03 04:00:00,1,0,0,0,0,0,0,0,0
"45",2017-10-03 05:00:00,1,0,0,0,0,0,0,0,0
"46",2017-10-03 06:00:00,1,0,0,0,0,0,0,0,0
"47",2017-10-03 07:00:00,1,0,0,0,0,0,0,0,0
"48",2017-10-03 08:00:00,1,0,0,0,0,0,0,0,0
"49",2017-10-03 09:00:00,1,0,0,0,0,0,0,0,0
"50",2017-10-03 10:00:00,1,1,0,0,0,0,0,0,0
"51",2017-10-03 11:00:00,1,1,0,0,0,0,0,0,0
"52",2017-10-03 12:00:00,1,1,0,0,0,0,0,0,0
"53",2017-10-03 13:00:00,1,1,0,0,0,0,0,0,0
"54",2017-10-03 14:00:00,1,1,0,0,0,0,0,0,0
"55",2017-10-03 15:00:00,1,1,0,0,0,0,0,0,0
"56",2017-10-03 16:00:00,1,1,0,0,0,0,0,0,0
"57",2017-10-03 17:00:00,1,1,0,0,0,0,0,0,0
"58",2017-10-03 18:00:00,1,1,0,0,0,0,0,0,0
"59",2017-10-03 19:00:00,1,1,0,0,0,0,0,0,0
"60",2017-10-03 20:00:00,1,1,0,0,0,0,0,0,0
"61",2017-10-03 21:00:00,1,1,1,0,0,0,0,0,0
"62",2017-10-03 22:00:00,1,1,1,0,0,0,0,0,0
"63",2017-10-03 23:00:00,1,1,1,0,0,0,0,0,0
"64",2017-10-04 00:00:00,1,1,1,0,0,0,0,0,0
"65",2017-10-04 01:00:00,1,1,1,0,0,0,0,0,0
"66",2017-10-04 02:00:00,1,1,1,0,0,0,0,0,0
"67",2017-10-04 03:00:00,1,1,1,0,0,0,0,0,0
"68",2017-10-04 04:00:00,1,1,1,0,0,0,0,0,0
"69",2017-10-04 05:00:00,1,1,1,0,0,0,0,0,0
"70",2017-10-04 06:00:00,1,1,1,0,0,0,0,0,0
